id;Nombre;Departamento;Acortado;Estado
5001;Medellín;5;;Activo
5002;Abejorral;5;;Activo
5004;Abriaquí;5;;Activo
5021;Alejandría;5;;Activo
5030;Amagá;5;;Activo
5031;Amalfi;5;;Activo
5034;Andes;5;;Activo
5036;Angelópolis;5;;Activo
5038;Angostura;5;;Activo
5040;Anorí;5;;Activo
5042;Santafé de Antioquia;5;;Activo
5044;Anza;5;;Activo
5045;Apartadó;5;;Activo
5051;Arboletes;5;;Activo
5055;Argelia;5;;Activo
5059;Armenia;5;;Activo
5079;Barbosa;5;;Activo
5086;Belmira;5;;Activo
5088;Bello;5;;Activo
5091;Betania;5;;Activo
5093;Betulia;5;;Activo
5101;Ciudad Bolívar;5;;Activo
5107;Briceño;5;;Activo
5113;Buriticá;5;;Activo
5120;Cáceres;5;;Activo
5125;Caicedo;5;;Activo
5129;Caldas;5;;Activo
5134;Campamento;5;;Activo
5138;Cañasgordas;5;;Activo
5142;Caracolí;5;;Activo
5145;Caramanta;5;;Activo
5147;Carepa;5;;Activo
5148;El Carmen de Viboral;5;;Activo
5150;Carolina;5;;Activo
5154;Caucasia;5;;Activo
5172;Chigorodó;5;;Activo
5190;Cisneros;5;;Activo
5197;Cocorná;5;;Activo
5206;Concepción;5;;Activo
5209;Concordia;5;;Activo
5212;Copacabana;5;;Activo
5234;Dabeiba;5;;Activo
5237;Don Matías;5;;Activo
5240;Ebéjico;5;;Activo
5250;El Bagre;5;;Activo
5264;Entrerrios;5;;Activo
5266;Envigado;5;;Activo
5282;Fredonia;5;;Activo
5284;Frontino;5;;Activo
5306;Giraldo;5;;Activo
5308;Girardota;5;;Activo
5310;Gómez Plata;5;;Activo
5313;Granada;5;;Activo
5315;Guadalupe;5;;Activo
5318;Guarne;5;;Activo
5321;Guatapé;5;;Activo
5347;Heliconia;5;;Activo
5353;Hispania;5;;Activo
5360;Itagui;5;;Activo
5361;Ituango;5;;Activo
5364;Jardín;5;;Activo
5368;Jericó;5;;Activo
5376;La Ceja;5;;Activo
5380;La Estrella;5;;Activo
